uid,profession,pid,price,category,site_name
0,ME,1046,,Fall Protection,Tanner Bolt
0,ME,860,35.94,Shipping Supplies,Speedy Metals
0,ME,981,,Fall Protection,Tanner Bolt
0,ME,1036,,Fall Protection,Tanner Bolt
0,ME,931,,Fall Protection,Tanner Bolt
0,ME,835,90.21,Shipping Supplies,Speedy Metals
0,ME,840,35.78,Shipping Supplies,Speedy Metals
0,ME,911,,Fall Protection,Tanner Bolt
0,ME,966,,Fall Protection,Tanner Bolt
0,ME,1045,,Fall Protection,Tanner Bolt
0,ME,1023,,Fall Protection,Tanner Bolt
0,ME,1042,,Fall Protection,Tanner Bolt
0,ME,1013,,Fall Protection,Tanner Bolt
0,ME,925,,Fall Protection,Tanner Bolt
0,ME,807,9.79,Shipping Supplies,Speedy Metals
0,ME,797,153.57,Shipping Supplies,Speedy Metals
0,ME,765,47.36,Shipping Supplies,Speedy Metals
0,ME,972,,Fall Protection,Tanner Bolt
0,ME,854,0.74,Shipping Supplies,Speedy Metals
0,ME,807,9.79,Shipping Supplies,Speedy Metals
0,ME,822,1.54,Shipping Supplies,Speedy Metals
0,ME,906,,Fall Protection,Tanner Bolt
0,ME,965,,Fall Protection,Tanner Bolt
0,ME,962,,Fall Protection,Tanner Bolt
0,ME,779,48.86,Shipping Supplies,Speedy Metals
1,CE,1012,,Fall Protection,Tanner Bolt
1,CE,923,,Fall Protection,Tanner Bolt
1,CE,966,,Fall Protection,Tanner Bolt
1,CE,972,,Fall Protection,Tanner Bolt
1,CE,1015,,Fall Protection,Tanner Bolt
1,CE,899,98.84,Shipping Supplies,Speedy Metals
1,CE,889,45.01,Shipping Supplies,Speedy Metals
1,CE,770,29.73,Shipping Supplies,Speedy Metals
1,CE,773,57.72,Shipping Supplies,Speedy Metals
1,CE,848,10.44,Shipping Supplies,Speedy Metals
2,CPE,683,915.59,Rehabilitation and Durable Medical Equipment,QC Supply
2,CPE,945,,Fall Protection,Tanner Bolt
2,CPE,990,,Fall Protection,Tanner Bolt
2,CPE,958,,Fall Protection,Tanner Bolt
2,CPE,992,,Fall Protection,Tanner Bolt
2,CPE,952,,Fall Protection,Tanner Bolt
2,CPE,568,,Nonelectrical Properties Testing,dillonsupply.com
2,CPE,866,33.75,Shipping Supplies,Speedy Metals
2,CPE,953,,Fall Protection,Tanner Bolt
2,CPE,947,,Fall Protection,Tanner Bolt
2,CPE,866,33.75,Shipping Supplies,Speedy Metals
2,CPE,475,,Nonelectrical Properties Testing,dillonsupply.com
2,CPE,546,,Nonelectrical Properties Testing,dillonsupply.com
2,CPE,972,,Fall Protection,Tanner Bolt
2,CPE,714,48.81,Rehabilitation and Durable Medical Equipment,QC Supply
3,CE,902,,Fall Protection,Tanner Bolt
3,CE,990,,Fall Protection,Tanner Bolt
3,CE,1049,,Fall Protection,Tanner Bolt
3,CE,875,57.45,Shipping Supplies,Speedy Metals
3,CE,869,65.53,Shipping Supplies,Speedy Metals
3,CE,824,23.45,Shipping Supplies,Speedy Metals
3,CE,781,71.85,Shipping Supplies,Speedy Metals
3,CE,1023,,Fall Protection,Tanner Bolt
3,CE,564,,Nonelectrical Properties Testing,dillonsupply.com
3,CE,233,2195.0,Fabrication Machinery,Bailiegh Industrial
3,CE,470,,Nonelectrical Properties Testing,dillonsupply.com
3,CE,931,,Fall Protection,Tanner Bolt
3,CE,243,24895.0,Fabrication Machinery,Bailiegh Industrial
3,CE,798,0.78,Shipping Supplies,Speedy Metals
3,CE,462,,Nonelectrical Properties Testing,dillonsupply.com
3,CE,914,,Fall Protection,Tanner Bolt
3,CE,1046,,Fall Protection,Tanner Bolt
3,CE,888,34.24,Shipping Supplies,Speedy Metals
3,CE,571,,Nonelectrical Properties Testing,dillonsupply.com
3,CE,946,,Fall Protection,Tanner Bolt
3,CE,163,9095.0,Pipe,Bailiegh Industrial
3,CE,582,,Nonelectrical Properties Testing,dillonsupply.com
3,CE,592,,Nonelectrical Properties Testing,dillonsupply.com
4,IE,1025,,Fall Protection,Tanner Bolt
4,IE,957,,Fall Protection,Tanner Bolt
4,IE,1026,,Fall Protection,Tanner Bolt
4,IE,989,,Fall Protection,Tanner Bolt
4,IE,951,,Fall Protection,Tanner Bolt
4,IE,1003,,Fall Protection,Tanner Bolt
4,IE,937,,Fall Protection,Tanner Bolt
4,IE,1026,,Fall Protection,Tanner Bolt
5,EE,145,549.0,Rehabilitation and Durable Medical Equipment,Automation Direct
5,EE,499,,Nonelectrical Properties Testing,dillonsupply.com
5,EE,495,,Nonelectrical Properties Testing,dillonsupply.com
5,EE,452,,Nonelectrical Properties Testing,dillonsupply.com
5,EE,56,26.0,Security Management and Law Enforcement,Automation Direct
5,EE,493,,Nonelectrical Properties Testing,dillonsupply.com
5,EE,98,36.0,Relays and Accessories,Automation Direct
5,EE,429,40.84,Rehabilitation and Durable Medical Equipment,Blackhawk Industrial
5,EE,803,30.56,Shipping Supplies,Speedy Metals
5,EE,371,49.72,Rehabilitation and Durable Medical Equipment,Blackhawk Industrial
5,EE,325,5.22,Rehabilitation and Durable Medical Equipment,Blackhawk Industrial
5,EE,474,,Nonelectrical Properties Testing,dillonsupply.com
5,EE,123,56.0,Rehabilitation and Durable Medical Equipment,Automation Direct
5,EE,125,34.5,Rehabilitation and Durable Medical Equipment,Automation Direct
5,EE,895,25.8,Shipping Supplies,Speedy Metals
5,EE,865,22.72,Shipping Supplies,Speedy Metals
5,EE,327,5.9,Rehabilitation and Durable Medical Equipment,Blackhawk Industrial
