uid,profession,pid,price,category,site_name
0,EE,1046,,Fall Protection,Tanner Bolt
0,ME,860,35.94,Shipping Supplies,Speedy Metals
0,ME,981,,Fall Protection,Tanner Bolt
0,ME,1036,,Fall Protection,Tanner Bolt
0,ME,931,,Fall Protection,Tanner Bolt
0,EE,835,90.21,Shipping Supplies,Speedy Metals
0,ME,840,35.78,Shipping Supplies,Speedy Metals
0,ME,911,,Fall Protection,Tanner Bolt
0,ME,966,,Fall Protection,Tanner Bolt
0,CPE,1045,,Fall Protection,Tanner Bolt
0,ME,1023,,Fall Protection,Tanner Bolt
0,ME,1042,,Fall Protection,Tanner Bolt
0,ME,1013,,Fall Protection,Tanner Bolt
0,ME,925,,Fall Protection,Tanner Bolt
0,ME,807,9.79,Shipping Supplies,Speedy Metals
0,ME,797,153.57,Shipping Supplies,Speedy Metals
0,ME,765,47.36,Shipping Supplies,Speedy Metals
0,ME,972,,Fall Protection,Tanner Bolt
0,ME,854,0.74,Shipping Supplies,Speedy Metals
0,EE,807,9.79,Shipping Supplies,Speedy Metals
0,ME,822,1.54,Shipping Supplies,Speedy Metals
0,CPE,906,,Fall Protection,Tanner Bolt
0,ME,965,,Fall Protection,Tanner Bolt
0,ME,962,,Fall Protection,Tanner Bolt
0,CPE,779,48.86,Shipping Supplies,Speedy Metals
1,EE,1012,,Fall Protection,Tanner Bolt
1,ME,923,,Fall Protection,Tanner Bolt
1,ME,966,,Fall Protection,Tanner Bolt
1,EE,972,,Fall Protection,Tanner Bolt
1,ME,1015,,Fall Protection,Tanner Bolt
1,EE,899,98.84,Shipping Supplies,Speedy Metals
1,ME,889,45.01,Shipping Supplies,Speedy Metals
1,ME,770,29.73,Shipping Supplies,Speedy Metals
1,ME,773,57.72,Shipping Supplies,Speedy Metals
1,CPE,848,10.44,Shipping Supplies,Speedy Metals
2,CPE,683,915.59,Rehabilitation and Durable Medical Equipment,QC Supply
2,ME,945,,Fall Protection,Tanner Bolt
2,ME,990,,Fall Protection,Tanner Bolt
2,ME,958,,Fall Protection,Tanner Bolt
2,ME,992,,Fall Protection,Tanner Bolt
2,ME,952,,Fall Protection,Tanner Bolt
2,EE,568,,Nonelectrical Properties Testing,dillonsupply.com
2,ME,866,33.75,Shipping Supplies,Speedy Metals
2,CPE,953,,Fall Protection,Tanner Bolt
2,EE,947,,Fall Protection,Tanner Bolt
2,ME,866,33.75,Shipping Supplies,Speedy Metals
2,ME,475,,Nonelectrical Properties Testing,dillonsupply.com
2,ME,546,,Nonelectrical Properties Testing,dillonsupply.com
2,ME,972,,Fall Protection,Tanner Bolt
2,CPE,714,48.81,Rehabilitation and Durable Medical Equipment,QC Supply
3,ME,902,,Fall Protection,Tanner Bolt
3,EE,990,,Fall Protection,Tanner Bolt
3,ME,1049,,Fall Protection,Tanner Bolt
3,ME,875,57.45,Shipping Supplies,Speedy Metals
3,ME,869,65.53,Shipping Supplies,Speedy Metals
3,EE,824,23.45,Shipping Supplies,Speedy Metals
3,ME,781,71.85,Shipping Supplies,Speedy Metals
3,ME,1023,,Fall Protection,Tanner Bolt
3,CPE,564,,Nonelectrical Properties Testing,dillonsupply.com
3,ME,233,2195.0,Fabrication Machinery,Bailiegh Industrial
3,ME,470,,Nonelectrical Properties Testing,dillonsupply.com
3,ME,931,,Fall Protection,Tanner Bolt
3,EE,243,24895.0,Fabrication Machinery,Bailiegh Industrial
3,ME,798,0.78,Shipping Supplies,Speedy Metals
3,ME,462,,Nonelectrical Properties Testing,dillonsupply.com
3,EE,914,,Fall Protection,Tanner Bolt
3,ME,1046,,Fall Protection,Tanner Bolt
3,ME,888,34.24,Shipping Supplies,Speedy Metals
3,ME,571,,Nonelectrical Properties Testing,dillonsupply.com
3,ME,946,,Fall Protection,Tanner Bolt
3,EE,163,9095.0,Pipe,Bailiegh Industrial
3,ME,582,,Nonelectrical Properties Testing,dillonsupply.com
3,ME,592,,Nonelectrical Properties Testing,dillonsupply.com
4,ME,1025,,Fall Protection,Tanner Bolt
4,ME,957,,Fall Protection,Tanner Bolt
4,ME,1026,,Fall Protection,Tanner Bolt
4,ME,989,,Fall Protection,Tanner Bolt
4,ME,951,,Fall Protection,Tanner Bolt
4,ME,1003,,Fall Protection,Tanner Bolt
4,ME,937,,Fall Protection,Tanner Bolt
4,ME,1026,,Fall Protection,Tanner Bolt
5,CPE,145,549.0,Rehabilitation and Durable Medical Equipment,Automation Direct
5,ME,499,,Nonelectrical Properties Testing,dillonsupply.com
5,ME,495,,Nonelectrical Properties Testing,dillonsupply.com
5,ME,452,,Nonelectrical Properties Testing,dillonsupply.com
5,ME,56,26.0,Security Management and Law Enforcement,Automation Direct
5,ME,493,,Nonelectrical Properties Testing,dillonsupply.com
5,CPE,98,36.0,Relays and Accessories,Automation Direct
